suite,name,summary,precondition,step_number,step,expectedresult
응모라운지,참여한 탭_003,마감된 응모,,1,"1. 참여한 Tab 진입
2. 마감된 응모 클릭","응모 상세페이지로 이동된다.

 - 헤더 : [<] 뒤로가기, 공유하기 버튼
 - 썸네일 이미지, 타이틀 명, 티켓명
 - 응모 마감 , 경품가/응모가 (원)
 - 응모 정보 : 응모기간, 당첨자 발표, 당첨 인원
 - 상세 정보
 - 유의 사항 
: 당첨 내역은 [응모라운지>참여된 응모> 당첨자 발표]를 통해 확인하실 수 있습니다.
당첨된 티켓내역은 [마이페이지 > 나의 티켓내역]을 통해 확인하실 수 있습니다.
경품 지급과 관련된 일정과 안내는 당첨되신 회원님께 별도 연락드릴 예정입니다. 
5만원을 초과하는 경품에 당첨되는 경우 해당 경품에 대한 제세공과금은 당첨자 본인이 부담합니다.
당사 사정에 따라 해당 이벤트의 내용이 변동 될 수 있으며, 사전안내없이 종료될 수 있습니다.
당첨된 경품은 타 상품으로 교환 및 환불이 불가합니다,
잘못된 회원정보(연락처)로 인한 경품 발송 안내 불가 및 발송 오류는 당사에서 책임지지 않으며, 재발송이 불가합니다.
불법적인 방법을 통해 이벤트에 참여한 경우 모든 혜택은 무효처리됩니다.
응모에 필요한 응모패스는 챌린지에 참여하실 경우 획득하실수 있습니다. 
한 번 응모한 응모패스는 취소 및 재발급이 불가합니다.
한 이벤트에 중복 참여가 가능합니다.
 - 버튼 : 응모 마감 (비활성화)"
응모라운지,참여한 탭_004,마감된 응모,,2,"1. 참여한 Tab 진입
2. 마감된 응모 클릭
3. [응모 마감] 버튼 클릭",버튼 동작되지 않아야 함
응모라운지,참여한 탭_005,마감된 응모,,1,"1. 참여한 Tab 진입
2. 당첨자 발표한 응모 클릭","응모 상세페이지로 이동된다.

 - 헤더 : [<] 뒤로가기, 공유하기 버튼
 - 썸네일 이미지, 타이틀 명, 티켓명
 - 응모 마감 , 경품가/응모가 (원)
 - 응모 정보 : 응모기간, 당첨자 발표, 당첨 인원
 - 상세 정보
 - 유의 사항 :
 -당첨 내역은 [응모라운지 > 참여된 응모 > 당첨자 발표]에서 확인 가능합니다.
-경품 지급과 관련된 일정 및 안내는 당첨자 발표 안내 후, 당첨자에게 별도로 연락드릴 예정입니다.
-문자로 발송된 예약번호로 관람일 당일 티켓 수령하여 입장하시면 됩니다
.-5만 원을 초과하는 경품에 해당하는 제세공과금 22%는 당첨자 본인 부담입니다.
-당사 사정에 따라 해당 이벤트의 내용은 변동될 수 있으며, 사전 안내 없이 종료될 수 있습니다.
-회원정보 오기입으로 인한 경불 재발송은 불가하며 당사에서 책임지지 않습니다.
-불법적인 방법을 통해 이벤트에 참여한 경우 모든 혜택은 무효처리됩니다.
-응모에 필요한 응모패스는 챌린지에 참여하실 경우 획득하실 수 있습니다.
-한 번 응모한 응모패스는 취소 및 재발급이 불가합니다.
-한 이벤트에 중복 참여가 가능합니다.

 - 버튼 : 당첨자 확인"
응모라운지,참여한 탭_006,마감된 응모,,2,"1. 참여한 Tab 진입
2. 당첨자 발표한 응모 상세 진입
3. [당첨자 확인] 버튼 클릭","밑에서 팝업 올라오는지 확인

 - 당첨자 {NN} 명
 - {당첨자 프로필 명}{휴대 전화 뒷번호 4자리}
 - 10명까지 노출 (스크롤 시 10명씩 추가 노출)"
응모라운지,참여한 탭_007,마감된 응모,,3,"1. 참여한 Tab 진입
2. 당첨자 발표한 응모 상세 진입
3. [당첨자 확인] 버튼 클릭
4. 팝업 외 영역 클릭",팝업 닫히는지 확인
응모라운지,진행중 응모_001,응모하기,  보유중인 응모 패스가 있는 상태,1,"1. 진행중인 응모 상세 페이지
2. [응모패스 {N}개로 응모하기] 버튼 클릭","응모하기 페이지로 이동된다.

 - 타이틀 : 응모하기
 - [<] 뒤로가기 버튼
 - 나의 보유 응모 패스 {N} 개
 - 휴대폰 번호/이메일 입력 항목
 - 전체 동의 / (필수) 서비스 이용약관 / (필수) 개인정보 수집 이용 동의
 - 버튼 : 응모 패스 {N}개로 응모하기"
응모라운지,진행중 응모_002,응모하기,"1. 보유중인 응모 패스가 있는 상태
2. 회원정보에 휴대폰 번호/이메일이 저장된 상태",2,"1. 진행중인 응모 상세 페이지
2. [응모패스 {N}개로 응모하기] 버튼 클릭",응모하기 페이지로 이동되며 휴대폰 번호/이메일 자동 입력되는지 확인
응모라운지,진행중 응모_003,응모하기,,1,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 휴대폰 번호 입력 항목 클릭",숫자 키패드 노출되며 숫자만 입력 가능한지 확인
응모라운지,진행중 응모_004,응모하기,,2,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 이메일 입력 항목 클릭",키패드 노출되며 이메일 입력 가능한지 확인
응모라운지,진행중 응모_005,응모하기,,3,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 휴대폰 번호 미입력","휴대폰번호를 입력해 주십시오. 문구 노출

 - Focus Out 시"
응모라운지,진행중 응모_006,응모하기,,4,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 비정상 휴대폰 번호 입력",정상적인 휴대폰번호가 아닙니다. 문구 노출
응모라운지,진행중 응모_007,응모하기,,5,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 이메일 미입력","이메일주소를 입력해 주십시오. 문구 노출

 - Focus Out 시"
응모라운지,진행중 응모_008,응모하기,,6,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 비정상 이메일 입력",정상적인 이메일주소가 아닙니다. 문구 노출
응모라운지,진행중 응모_009,응모하기,,1,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 각 약관 클릭",약관 상세페이지 노출된다.
응모라운지,진행중 응모_010,응모하기,,2,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 휴대폰 번호/이메일 입력
3. 약관 동의 미체크",[응모 패스 {N}개로 응모하기] 버튼 비활성화 확인
응모라운지,진행중 응모_011,응모하기,,3,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 휴대폰 번호 입력 /이메일 미입력
3. 약관 동의 전체 체크",[응모 패스 {N}개로 응모하기] 버튼 비활성화 확인
응모라운지,진행중 응모_012,응모하기,,4,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 휴대폰 번호 미입력 /이메일 입력
3. 약관 동의 전체 체크",[응모 패스 {N}개로 응모하기] 버튼 비활성화 확인
응모라운지,진행중 응모_013,응모하기,,5,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 휴대폰 번호 /이메일 미입력
3. 약관 동의 미체크",[응모 패스 {N}개로 응모하기] 버튼 비활성화 확인
응모라운지,진행중 응모_014,응모하기,,6,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 휴대폰 번호 /이메일 비정상적인 정보 입력
3. 약관 동의 체크",[응모 패스 {N}개로 응모하기] 버튼 비활성화 확인
응모라운지,진행중 응모_015,응모하기,,7,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 휴대폰 번호 /이메일 올바른 정보 입력
3. 약관 두개 중 1개만 체크",[응모 패스 {N}개로 응모하기] 버튼 비활성화 확인
응모라운지,진행중 응모_016,응모하기,,8,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 휴대폰 번호 /이메일 올바른 정보 입력
3. 약관 동의 체크","[응모 패스 {N}개로 응모하기] 버튼 활성화된다.
"
응모라운지,진행중 응모_017,응모하기,,9,"1. 진행중인 응모 > 응모하기 페이지 진입
2. 휴대폰 번호 /이메일 올바른 정보 입력
3. 약관 동의 체크
4. [응모 패스 {N}개로 응모하기] 버튼 클릭","응모 완료 페이지로 이동된다.

 - 타이틀 : 응모가 완료되었어요.
 - 당첨자 발표 {YYYY.MM.DD HH:MM}
 - 이미지 , 타이틀 명
 - 나의 현재 누적 응모 횟수 {N}회
 - 남은 응모 패스 {NN}개
 - 버튼 : [추가 응모하기], [확인]
 - 추가 응모하기 버튼 상단 문구 노출 확인 : 누적 응모 시 마다 당첨 확률이 UP!"
응모라운지,진행중 응모_018,응모하기,,1,"1. 응모 완료 페이지 진입
2. [추가 응모하기] 클릭",팝업 닫히며 상세페이지로 이동된다.
응모라운지,진행중 응모_019,응모하기,,2,"1. 응모 완료 페이지 진입
2. [확인] 클릭",팝업 닫히며 응모라운지 메인으로 이동된다.
응모라운지,핫딜라운지_001,,  핫딜 목록 비노출 상태,1,"1. 핫딜라운지 탭 진입
2. 페이지 확인","아래와 같이 노출된다.

 - 타이틀 : 응모라운지
 - 탭 : 응모 라운지 / 핫딜 라운지
 - 나의 보유 응모 패스 {N}개
 - ""구매 가능한 티켓이 없습니다."" 문구"
응모라운지,응모라운지_003,공유하기,,1,"1. 응모라운지 > 응모 상세페이지 진입
2. 공유하기 버튼 클릭","1. OS 공유하기 팝업이 노출된다.
2. URL 복사, SNS 등 공유 동작 확인"
응모라운지,응모라운지_004,공유하기,  진행중인 응모,2,1. 공유한 URL 클릭,앱 진입되며 해당 응모 상세페이지 이동
응모라운지,응모라운지_005,공유하기,  종료된 응모,3,1. 공유한 URL 클릭,앱 진입되며 해당 응모 상세페이지 이동
응모라운지,응모라운지_006,공유하기,  비노출 상태 응모,4,1. 공유한 URL 클릭,비정상적인 접근입니다 노출
마이페이지,마이페이지,UI 확인,,1,"1. 마이페이지 진입
2. UI 확인","아래와 같이 노출된다.

 - 타이틀 : 마이페이지
 - 프로필 영역 : 프로필 이미지, 닉네임, [편집] 버튼
 - 나의 보유 응모 패스 {N}개
 - 나의 응모 내역 / 나의 티켓 내역 / 챌린지 인증 내역
 - 회원정보 / 탈퇴하기
 - 고객센터 / 공지사항
 - [설정] 버튼"
마이페이지,나의 보유 응모패스_001,응모패스 내역,,1,"1. 마이페이지 진입
2. 나의 보유 응모 패스 영역 클릭",응모패스 내역 페이지로 이동한다.
마이페이지,나의 보유 응모패스_002,응모패스 내역,  응모패스 사용 내역이 없는 상태,2,"1. 나의 보유 응모 패스 영역 클릭
2. 응모패스 내역 페이지 확인","아래와 같이 노출된다.

 - 타이틀 : 나의 응모 패스
 - [<] 뒤로가기 버튼
 - 나의 보유 응모 패스 {N}개
 - 최근 3개월 간의 내역입니다. 
 - 목록 
  문구 : ""나의 응모 패스 내역이 없습니다."""
마이페이지,나의 보유 응모패스_003,응모패스 내역,  응모패스 사용 내역이 있는 상태,3,"1. 나의 보유 응모 패스 영역 클릭
2. 응모패스 내역 페이지 진입","아래와 같이 노출된다.

 - 타이틀 : 나의 응모 패스
 - [<] 뒤로가기 버튼
 - 나의 보유 응모 패스 {N}개
 - 최근 3개월 간의 내역입니다. 
 - 목록 : 패스 사용/획득 내역 노출
 
 * 핫딜라운지 구매 : 상품명, 사용 응모패스수(-), 남은 응모 패스수
 * 응모라운지 응모 : 응모명, 사용 응모패스수(-), 남은 응모 패스수 
 * 챌린지 성공 : 챌린지명, 획득 응모패스수(+), 남은 응모 패스수 
"
마이페이지,나의 보유 응모패스_004,응모패스 내역,,4,"1. 나의 보유 응모 패스 영역 클릭
2. 응모패스 내역 페이지 진입
3. [<] 뒤로가기 버튼 클릭",마이페이지로 이동된다.
마이페이지,나의 보유 응모패스_005,응모패스 내역,,5,"1. 나의 보유 응모 패스 영역 클릭
2. 응모패스 내역 페이지 진입
3. 디바이스 내에 백버튼 클릭",마이페이지로 이동된다.
마이페이지,나의 보유 응모패스_006,응모패스 내역,  응모패스 사용 내역 10개 초과 상태,1,"1, 나의 보유 응모 패스 영역 클릭
2. [더보기] 클릭",이전 이력 10개 추가 노출된다.
마이페이지,나의 응모 내역_001,목록,,1,"1. 마이페이지 진입
2. 나의 응모 내역 클릭",나의 응모 내역 페이지로 이동된다.
마이페이지,나의 응모 내역_002,진행중,  진행중인 응모 내역이 있는 상태,2,"1. 나의 응모 내역 페이지 진입
2. 진행중 탭 확인","아래와 같이 노출된다.

 - 타이틀 : 나의 응모 내역
 - [<] 뒤로가기 버튼
 - 진행중{N} 탭, 마감된{N} 탭
 - 사용자가 참여한 응모내역중 진행중 목록
  (리스트 Default 노출 순서는 응모일자 기준 내림차순)
 - 응모 리스트 (최근 3개월 간의 내역입니다.)
 : 썸네일 이미지, 응모 타이틀명, 티켓명, 마감카운트, 당첨자수, 총 응모수, 누적 응모수
 - 더보기 (클릭시 10개씩)"
마이페이지,나의 응모 내역_003,진행중,  진행중인 응모 내역이 없는 상태,3,"1. 나의 응모 내역 페이지 진입
2. 진행중 탭 > 목록 확인","""응모 내역이 없습니다."" 문구 노출된다."
마이페이지,나의 응모 내역_004,마감된,  마감된 응모 내역이 있는 상태,4,"1. 나의 응모 내역 페이지 진입
2. 마감된 탭 확인","아래와 같이 노출된다.

 - 타이틀 : 나의 응모 내역
 - [<] 뒤로가기 버튼
 - 진행중{N} 탭, 마감된{N} 탭
 - 사용자가 참여한 응모내역중 마감된 목록
  (리스트 노출 순서는  당첨자발표 기준 내림차순)
 - 응모 리스트 (최근 3개월 간의 내역입니다.)
 : 썸네일 이미지, 응모 타이틀명, 티켓명, 당첨자 발표일, 당첨자수, 누적 응모수
 - 더보기 (클릭시 10개씩)"
마이페이지,나의 응모 내역_005,마감된,  마감된 응모 내역이 없는 상태,5,"1. 나의 응모 내역 페이지 진입
2. 마감된 탭 > 목록 확인","""응모 내역이 없습니다."" 문구 노출된다."
마이페이지,나의 응모 내역_006,목록,,1,"1. 나의 응모 내역
2. 목록 클릭",내역 상세페이지로 이동된다.
마이페이지,나의 응모 내역_007,,  관리자 페이지에서 응모 비노출 시킨 상태,2,"1.나의 응모 내역
2. 목록 > 비노출 시킨 응모 클릭","""비정상적인 접근입니다."" 페이지 노출된다."
마이페이지,나의 티켓 내역_001,목록,,1,1. 마이페이지 > 나의 티켓 내역 클릭,"나의 티켓 내역 페이지로 이동된다.

 - 타이틀 : 나의 티켓 내역
 - [<] 뒤로가기 버튼
 - 응모라운지/핫딜라운지
 - 필터 : 전체/발송 준비중/발송 완료
 - ""최근 3개월 간의 내역입니다."" 문구
 - 리스트 : 썸네일 이미지, 티켓명, 발송상태 : 발송준비중/발송완료, 획득일
 - 획득(응모당첨)일순으로 정렬  
 - 더보기(클릭시 10개씩)"
마이페이지,나의 티켓 내역_002,뒤로가기,,2,"1. 마이페이지 > 나의 티켓 내역 클릭
2. [<] 뒤로가기 클릭",마이페이지로 이동된다.
마이페이지,나의 티켓 내역_003,뒤로가기,,3,"1. 마이페이지 > 나의 티켓 내역 클릭
2. 디바이스 내에 백버튼 클릭",마이페이지로 이동된다.
마이페이지,나의 티켓 내역_004,응모라운지,  티켓 내역이 없는 상태,1,"1. 나의 티켓 내역 진입 > 응모라운지
2. 필터 : 전체
3. 목록 확인","""티켓 내역이 없습니다."" 문구가 노출된다."
마이페이지,나의 티켓 내역_005,응모라운지,  티켓 내역이 없는 상태,2,"1. 나의 티켓 내역 진입 > 응모라운지
2. 필터 : 발송 준비중
3. 목록 확인","""티켓 내역이 없습니다."" 문구가 노출된다."
마이페이지,나의 티켓 내역_006,응모라운지,  티켓 내역이 없는 상태,3,"1. 나의 티켓 내역 진입 > 응모라운지
2. 필터 : 발송 완료
3. 목록 확인","""티켓 내역이 없습니다."" 문구가 노출된다."
마이페이지,나의 티켓 내역_007,응모라운지,  티켓 내역 존재하는 상태,4,"1. 나의 티켓 내역 진입 > 응모라운지
2. 필터 : 전체
3. 목록 확인","필터에 맞는 티켓 목록이 노출된다.

 - 썸네일 이미지,티켓명, 발송상태: 발송준비중/발송완료, 획득일 "
마이페이지,나의 티켓 내역_008,응모라운지,  티켓 내역 존재하는 상태,5,"1. 나의 티켓 내역 진입 > 응모라운지
2. 필터 : 발송 준비중
3. 목록 확인","필터에 맞는 티켓 목록이 노출된다.

 - 썸네일 이미지,티켓명, 발송상태: 발송 준비중, 획득일 "
마이페이지,나의 티켓 내역_009,응모라운지,  티켓 내역 존재하는 상태,6,"1. 나의 티켓 내역 진입 > 응모라운지
2. 필터 : 발송 완료
3. 목록 확인","필터에 맞는 티켓 목록이 노출된다.

 - 썸네일 이미지,티켓명, 발송상태: 발송 완료, 획득일 "
마이페이지,나의 티켓 내역_010,티켓 상세,,1,"1. 나의 티켓 내역 진입 > 응모라운지
2. 목록 내에 티켓 클릭","티켓 상세 페이지로 이동된다.

 - 티켓상품정보 : 썸네일 이미지, 티켓상품명, 티켓가, 응모가 0원, 상세페이지 링크 
 - 티켓발송정보 : 발송상태 (발송준비중/발송완료), 메모
 - 받는사람 정보 : 휴대전화, 이메일 
 - 획득 정보 : 획득 방법 (응모이벤트 당첨/응모패스로 구매), 획득일 
 - 유의사항 
잘못된 회원정보(연락처)로 인한 경품 발송 안내 불가 및 발송 오류는 당사에서 책임지지 않으며, 재발송이 불가합니다.
당첨 안내를 위해 휴대폰번호가 정확한지 꼭 확인 부탁 드리며, 해당 연락처를 통해 주소 별도 수집 예정입니다.
회원님께서는 아래 접수 기간 내 help_meemz@marvrus.com로 개별 메일로 연락 하시어 배송받으실 연락처 및 주소를 알려주시기 바랍니다. 담당자가 접수 후 경품을 배송해 드립니다.  - 접수기간: 당첨자 발표일로부터 1주일
택배배송조회는 메모란의 택배사와 송장번호로 직접 택배사사이트에서 조회해주시기 바랍니다. 
00시 00분 ~ 23시 59분 사이에 인증하셔야 합니다."
마이페이지,나의 티켓 내역_011,티켓 상세,,2,"1. 나의 티켓 내역 진입
2. 티켓 상세페이지 진입
3. 유의사항 > 메일 클릭",메일 작성폼 열리는지 확인
마이페이지,나의 티켓 내역_012,핫딜라운지,  티켓 내역이 없는 상태,1,"1. 나의 티켓 내역 진입 > 핫딜라운지
2. 필터 : 전체
3. 목록 확인","""티켓 내역이 없습니다."" 문구가 노출된다."
마이페이지,나의 티켓 내역_013,핫딜라운지,  티켓 내역이 없는 상태,2,"1. 나의 티켓 내역 진입 > 핫딜라운지
2. 필터 : 발송 준비중
3. 목록 확인","""티켓 내역이 없습니다."" 문구가 노출된다."
마이페이지,나의 티켓 내역_014,핫딜라운지,  티켓 내역이 없는 상태,3,"1. 나의 티켓 내역 진입 > 핫딜라운지
2. 필터 : 발송 완료
3. 목록 확인","""티켓 내역이 없습니다."" 문구가 노출된다."
마이페이지,나의 티켓 내역_015,핫딜라운지,  티켓 내역 존재하는 상태,4,"1. 나의 티켓 내역 진입 > 핫딜라운지
2. 필터 : 전체
3. 목록 확인","필터에 맞는 티켓 목록이 노출된다.

 - 썸네일 이미지,티켓명, 발송상태: 발송준비중/발송완료, 획득일 "
마이페이지,나의 티켓 내역_016,핫딜라운지,  티켓 내역 존재하는 상태,5,"1. 나의 티켓 내역 진입 > 핫딜라운지
2. 필터 : 발송 준비중
3. 목록 확인","필터에 맞는 티켓 목록이 노출된다.

 - 썸네일 이미지,티켓명, 발송상태: 발송 준비중, 획득일 "
마이페이지,나의 티켓 내역_017,핫딜라운지,  티켓 내역 존재하는 상태,6,"1. 나의 티켓 내역 진입 > 핫딜라운지
2. 필터 : 발송 완료
3. 목록 확인","필터에 맞는 티켓 목록이 노출된다.

 - 썸네일 이미지,티켓명, 발송상태: 발송 완료, 획득일 "
마이페이지,챌린지 인증 내역_001,목록,,1,1. 마이페이지 > 챌린지 인증 내역 클릭,"챌린지 인증 내역 페이지로 이동된다.

 - 타이틀 : 챌린지 인증 내역
 - [<] 뒤로가기 버튼
 - 확인중{N} 탭, 확인 완료{N} 탭
 - 목록 (최근 3개월 간의 내역입니다.)
 : 이미지, 챌린지 타이틀 명, 상태(확인중, 인증성공, 인증실패, 수령완료)
 - 더보기 (클릭 시 10개씩 노출)"
마이페이지,챌린지 인증 내역_002,새로고침,,2,"1. 마이페이지 > 챌린지 인증 내역 진입
2. 스와이프 다운 동작",목록 새로고침 동작된다.
마이페이지,챌린지 인증 내역_003,뒤로가기,,3,"1. 마이페이지 > 챌린지 인증 내역 클릭
2. [<] 뒤로가기 버튼 클릭",마이페이지로 이동된다.
마이페이지,챌린지 인증 내역_004,뒤로가기,,4,"1. 마이페이지 > 챌린지 인증 내역 클릭
2. 디바이스 내에 백버튼 클릭",마이페이지로 이동된다.
마이페이지,챌린지 인증 내역_005,확인중,  인증 내역이 없는 상태,1,"1. 챌린지 인증 내역 진입
2. 확인중 탭
3, 목록 확인","""챌린지 내역이 없습니다."" 문구가 노출된다."
마이페이지,챌린지 인증 내역_006,확인중,  인증 내역이 있는 상태,2,"1. 챌린지 인증 내역 진입
2. 확인중 탭
3. 목록 확인",확인중 상태의 인증 내역이 노출된다.
마이페이지,챌린지 인증 내역_007,확인중,,1,"1. 챌린지 인증 내역 진입
2. 확인중 탭
3. 목록 내에 인증 내역 클릭","챌린지 상세페이지로 이동된다.

 - 챌린지정보 : 이미지(인증샷 1번째 이미지), 챌린지 타이틀명,챌린지 상세페이지 링크 
 - 나의 달성 현황 : 달성률 (달설률 바, 달성률 %)
 - 보상 : 응모패스 수
 - 나의 인증샷 : 사진 1~3장
 - [버튼] : 확인중 (비활성화)"
마이페이지,챌린지 인증 내역_008,확인중,,2,"1. 챌린지 상세페이지 진입
2. 인증샷 클릭","이미지 크게보기 팝업 노출 확인

 - 인증샷 이미지 : 2~3개 인 경우 스와이프 
 - 프로필정보 : 프로필 이미지, 프로필 명, 등록일 
 - 메시지

* MVP 버전에서는 나의 인증샷 삭제/수정 기능 제공 안함 (고도화시 검토)"
마이페이지,챌린지 인증 내역_009,확인완료,  인증 내역이 없는 상태,1,"1. 챌린지 인증 내역 진입
2. 확인완료 탭
3, 목록 확인","""챌린지 내역이 없습니다."" 문구가 노출된다."
마이페이지,챌린지 인증 내역_010,확인완료,  인증 내역이 있는 상태,2,"1. 챌린지 인증 내역 진입
2. 확인완료 탭
3. 목록 확인",인증성공/인증실패/수령완료 상태의 인증 내역이 노출된다.
마이페이지,챌린지 인증 내역_011,확인완료,,3,"1. 챌린지 인증 내역 진입
2. 환인완료 탭
3. 인증완료 상태 내역 클릭","챌린지 상세페이지로 이동된다.

 - 챌린지정보 : 썸네일이미지, 챌린지 타이틀명,챌린지 상세페이지 링크 
 - 나의 달성 현황 : 달성률 (달설률 바, 달성률 %)
 - 보상 : 응모패스 수
 - 나의 인증샷 : 사진 1~3장
 - [버튼] : 보상받기 (활성화) - ""인증성공"" 문구 노출"
마이페이지,챌린지 인증 내역_012,확인완료,,4,"1. 챌린지 인증 내역 진입
2. 환인완료 탭
3. 인증완료 상태 내역 클릭
4. [보상받기] 버튼 클릭","보상받기 완료 팝업 노출

 - 문구 : 응모패스 {N}개를 획득했습니다.
 - 버튼 : [확인]"
마이페이지,챌린지 인증 내역_013,확인완료,,5,"1. 챌린지 인증 내역 진입
2. 환인완료 탭
3. 인증완료 상태 내역 클릭
4. [보상받기] 버튼 클릭
5. [확인] 클릭","1. 팝업이 닫히는지 확인
2. [보상 수령 완료] 버튼으로 변경된다. (비활성화)
3. 획득한 응모패스 정상 수령 확인"
마이페이지,챌린지 인증 내역_014,확인완료,,6,"1. 챌린지 인증 내역 진입
2. 환인완료 탭
3. 인증완료 상태 내역 클릭
4. 인증샷 클릭","이미지 크게보기 팝업 노출 확인

 - 인증샷 이미지 : 2~3개 인 경우 스와이프 
 - 프로필정보 : 프로필 이미지, 프로필 명, 등록일 
 - 메시지

* MVP 버전에서는 나의 인증샷 삭제/수정 기능 제공 안함 (고도화시 검토)"
마이페이지,챌린지 인증 내역_015,확인완료,,1,"1. 챌린지 인증 내역 진입
2. 환인완료 탭
3. 인증실패 상태 내역 클릭","챌린지 상세페이지로 이동된다.

 - 챌린지정보 : 썸네일이미지, 챌린지 타이틀명,챌린지 상세페이지 링크 
 - 나의 달성 현황 : 달성률 (달설률 바, 달성률 %)
 - 보상 : 응모패스 수
 - 나의 인증샷 : 사진 1~3장
 - [버튼] : 실패 사유 확인(활성화) - ""인증에 실패했어요 😢""문구 노출"
