suite,name,summary,precondition,step_number,step,expectedresult
숫자 퀴즈,쉬움 난이도_005,답안지 선택,,,"1. 스피드 퀴즈 진입
2. 리모콘 좌 버튼 선택",좌측 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
숫자 퀴즈,쉬움 난이도_006,답안지 선택,,,"1. 스피드 퀴즈 진입
2. 리모콘 우 버튼 선택",우측 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
숫자 퀴즈,쉬움 난이도_007,답안지 선택 BGM,,,"1. 스피드 퀴즈 진입
2. 리모콘 좌/우 버튼 선택",아바타가 답변영역에 위치 될 때 걸음소리 음원이 같이 재생된다.
숫자 퀴즈,쉬움 난이도_008,답안지 선택 (카운트 활성화),5초 카운트 활성화 상태,,"1. 스피드 퀴즈 진입
2. 리모콘 좌/우 버튼 선택",5초 카운트가 활성화 되어 있는 경우 답안지 변경이 가능하다.
숫자 퀴즈,쉬움 난이도_009,답안지 선택 (카운트 비활성화),5초 카운트 비활성화 상태,,"1. 스피드 퀴즈 진입
2. 리모콘 좌/우 버튼 선택",5초 카운트가 종료되어 비활성화 되어 있는 경우 답안지 변경이 불가능하다.
숫자 퀴즈,쉬움 난이도_010,정답판정(아바타 동작),,,"1. 문제 정답을 맞춤
2. 아바타 동작 확인",아바타가 신나서 뛰는 액션을 취한다.
숫자 퀴즈,쉬움 난이도_011,정답판정(정답 이펙트),,,"1. 문제 정답을 맞춤
2. 정답 이펙트 확인",아바타 위로 코인이 쌓이는 이펙트가 노출된다.
숫자 퀴즈,쉬움 난이도_012,정답판정(BGM),,,"1. 문제 정답을 맞춤
2. BGM 확인",코인이 짤랑거리는 음원이 재생된다.
숫자 퀴즈,쉬움 난이도_013,오답판정(아바타 동작),,,"1. 문제를 의도적으로 틀림
2. 아바타 동작 확인",아바타가 함정 구멍으로 떨어지는 애니메이션 동작
숫자 퀴즈,쉬움 난이도_014,오답판정(오답 이펙트),,,"1. 문제를 의도적으로 틀림
2. 오답 이펙트 확인",위치한 답안지가 함정구멍처럼 열리는 이펙트가 노출된다.
숫자 퀴즈,쉬움 난이도_015,오답판정(BGM),,,"1. 문제를 의도적으로 틀림
2. BGM 확인",추락하는 음원이 재생된다.
숫자 퀴즈,쉬움 난이도_016,게임 종료,,,1. 총 5문제 풀이를 모두 진행,게임종료 페이지가 노출된다.
숫자 퀴즈,쉬움 난이도_017,게임 종료(성공),,,1. 게임 종료 (성공) 페이지 확인,"- 안내문구 : 성공했습니다.
- 점수 노출 영역
- 보상 노출 영역
- 나갈래요 버튼
- 다시할래요 버튼
- 아바타 노출"
숫자 퀴즈,쉬움 난이도_018,게임 종료(성공),,,1. 게임 종료 (성공) 아바타 액션 확인,성공 시 아바타가 신나하는 애니메이션이 노출된다.
숫자 퀴즈,쉬움 난이도_019,게임 종료(성공),,,1. 점수 확인,"- 문제 1개당 10점 획득
- 총 문제의 정답 수의 비례하여 점수가 정확하게 합산되어 노출된다."
숫자 퀴즈,쉬움 난이도_020,게임 종료(성공),,,1. 보상 확인,"- 문제 1개당 10코인 획득
- 총 문제의 정답 수의 비례하여 코인이 정확하게 합산되어 노출된다."
숫자 퀴즈,쉬움 난이도_021,게임 종료(성공),,,1. 나갈래요 버튼 클릭,스피드 퀴즈 메인페이지로 이동된다.
숫자 퀴즈,쉬움 난이도_022,게임 종료(성공),,,1. 다시할래요 버튼 클릭,동일 난이도로 게임 재시작이 이루어지며 하트 1개가 소진된다.
숫자 퀴즈,쉬움 난이도_023,게임 종료(실패),,,1. 게임 종료 (실패) 페이지 확인,"- 안내문구 : 실패했습니다.
- 점수 노출 영역
- 보상 노출 영역
- 나갈래요 버튼
- 다시할래요 버튼
- 아바타 노출"
숫자 퀴즈,쉬움 난이도_024,게임 종료(실패),,,1. 게임 종료 (실패) 아바타 액션 확인,실패 시 아바타가 슬퍼하는 액션이 노출된다.
숫자 퀴즈,쉬움 난이도_025,게임 종료(실패),,,1. 점수 확인,"- 문제 1개당 10점 획득
- 총 문제의 정답 수의 비례하여 점수가 정확하게 합산되어 노출된다."
숫자 퀴즈,쉬움 난이도_026,게임 종료(실패),,,1. 보상 확인,"- 문제 1개당 10코인 획득
- 총 문제의 정답 수의 비례하여 코인이 정확하게 합산되어 노출된다."
숫자 퀴즈,쉬움 난이도_027,게임 종료(실패),,,1. 나갈래요 버튼 클릭,스피드 퀴즈 메인페이지로 이동된다.
숫자 퀴즈,쉬움 난이도_028,게임 종료(실패),,,1. 다시할래요 버튼 클릭,동일 난이도로 게임 재시작이 이루어지며 하트 1개가 소진된다.
숫자 퀴즈,중간 난이도_001,답 선택지,,,1. 중간 난이도 레벨의 답 선택지 갯수 확인,중간 난이도에서는 선택지 3개가 노출된다.
숫자 퀴즈,중간 난이도_002,정답 선택시간,,,"1. 스피드 퀴즈 진입
2. 게임 시작 이후 답 선택 시간 확인",정답을 고를수 있는 시간은 5초이며 5초가 소진될 경우 오답으로 판정된다.
숫자 퀴즈,중간 난이도_003,카운트 다운,,,"1. 스피드 퀴즈 진입
2. 하단 카운트다운 동작 확인","5,4,3,2,1 카운트 다운이 노출된다."
숫자 퀴즈,중간 난이도_004,프로그레스바,,,"1. 스피드 퀴즈 진입
2. 하단 프로그레스바 동작 확인","5,4,3,2,1 카운트다운과 같이 동작되는 프로그레스바가 노출된다."
숫자 퀴즈,중간 난이도_005,답안지 선택,,,"1. 스피드 퀴즈 진입
2. 리모콘 좌 버튼 선택",좌측 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
숫자 퀴즈,중간 난이도_006,답안지 선택,,,"1. 스피드 퀴즈 진입
2. 리모콘 우 버튼 선택",우측 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
숫자 퀴즈,중간 난이도_007,답안지 선택,,,"1. 스피드 퀴즈 진입
2. 리모콘 상 버튼 선택",상단 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
숫자 퀴즈,중간 난이도_008,답안지 선택 BGM,,,"1. 스피드 퀴즈 진입
2. 리모콘 상/ 좌/우 버튼 선택",아바타가 답변영역에 위치 될 때 걸음소리 음원이 같이 재생된다.
숫자 퀴즈,중간 난이도_009,답안지 선택 (카운트 활성화),5초 카운트 활성화 상태,,"1. 스피드 퀴즈 진입
2. 리모콘 상/ 좌/우 버튼 선택",5초 카운트가 활성화 되어 있는 경우 답안지 변경이 가능하다.
숫자 퀴즈,중간 난이도_010,답안지 선택 (카운트 비활성화),5초 카운트 비활성화 상태,,"1. 스피드 퀴즈 진입
2. 리모콘 상/ 좌/우 버튼 선택",5초 카운트가 종료되어 비활성화 되어 있는 경우 답안지 변경이 불가능하다.
숫자 퀴즈,중간 난이도_011,정답판정(아바타 동작),,,"1. 문제 정답을 맞춤
2. 아바타 동작 확인",아바타가 신나서 뛰는 액션을 취한다.
숫자 퀴즈,중간 난이도_012,정답판정(정답 이펙트),,,"1. 문제 정답을 맞춤
2. 정답 이펙트 확인",아바타 위로 코인이 쌓이는 이펙트가 노출된다.
숫자 퀴즈,중간 난이도_013,정답판정(BGM),,,"1. 문제 정답을 맞춤
2. BGM 확인",코인이 짤랑거리는 음원이 재생된다.
숫자 퀴즈,중간 난이도_014,오답판정(아바타 동작),,,"1. 문제를 의도적으로 틀림
2. 아바타 동작 확인",아바타가 함정 구멍으로 떨어지는 애니메이션 동작
숫자 퀴즈,중간 난이도_015,오답판정(오답 이펙트),,,"1. 문제를 의도적으로 틀림
2. 오답 이펙트 확인",위치한 답안지가 함정구멍처럼 열리는 이펙트가 노출된다.
숫자 퀴즈,중간 난이도_016,오답판정(BGM),,,"1. 문제를 의도적으로 틀림
2. BGM 확인",추락하는 음원이 재생된다.
숫자 퀴즈,중간 난이도_017,게임 종료,,,1. 총 5문제 풀이를 모두 진행,게임종료 페이지가 노출된다.
숫자 퀴즈,중간 난이도_018,게임 종료(성공),,,1. 게임 종료 (성공) 페이지 확인,"- 안내문구 : 성공했습니다.
- 점수 노출 영역
- 보상 노출 영역
- 나갈래요 버튼
- 다시할래요 버튼
- 아바타 노출"
숫자 퀴즈,중간 난이도_019,게임 종료(성공),,,1. 게임 종료 (성공) 아바타 액션 확인,성공 시 아바타가 신나하는 애니메이션이 노출된다.
숫자 퀴즈,중간 난이도_020,게임 종료(성공),,,1. 점수 확인,"- 문제 1개당 10점 획득
- 총 문제의 정답 수의 비례하여 점수가 정확하게 합산되어 노출된다."
숫자 퀴즈,중간 난이도_021,게임 종료(성공),,,1. 보상 확인,"- 문제 1개당 10코인 획득
- 총 문제의 정답 수의 비례하여 코인이 정확하게 합산되어 노출된다."
숫자 퀴즈,중간 난이도_022,게임 종료(성공),,,1. 나갈래요 버튼 클릭,스피드 퀴즈 메인페이지로 이동된다.
숫자 퀴즈,중간 난이도_023,게임 종료(성공),,,1. 다시할래요 버튼 클릭,동일 난이도로 게임 재시작이 이루어지며 하트 1개가 소진된다.
숫자 퀴즈,중간 난이도_024,게임 종료(실패),,,1. 게임 종료 (실패) 페이지 확인,"- 안내문구 : 실패했습니다.
- 점수 노출 영역
- 보상 노출 영역
- 나갈래요 버튼
- 다시할래요 버튼
- 아바타 노출"
숫자 퀴즈,중간 난이도_025,게임 종료(실패),,,1. 게임 종료 (실패) 아바타 액션 확인,실패 시 아바타가 슬퍼하는 액션이 노출된다.
숫자 퀴즈,중간 난이도_026,게임 종료(실패),,,1. 점수 확인,"- 문제 1개당 10점 획득
- 총 문제의 정답 수의 비례하여 점수가 정확하게 합산되어 노출된다."
숫자 퀴즈,중간 난이도_027,게임 종료(실패),,,1. 보상 확인,"- 문제 1개당 10코인 획득
- 총 문제의 정답 수의 비례하여 코인이 정확하게 합산되어 노출된다."
숫자 퀴즈,중간 난이도_028,게임 종료(실패),,,1. 나갈래요 버튼 클릭,스피드 퀴즈 메인페이지로 이동된다.
숫자 퀴즈,중간 난이도_029,게임 종료(실패),,,1. 다시할래요 버튼 클릭,동일 난이도로 게임 재시작이 이루어지며 하트 1개가 소진된다.
숫자 퀴즈,어려움 난이도_001,답 선택지,,,1. 중간 난이도 레벨의 답 선택지 갯수 확인,중간 난이도에서는 선택지 3개가 노출된다.
숫자 퀴즈,어려움 난이도_002,정답 선택시간,,,"1. 스피드 퀴즈 진입
2. 게임 시작 이후 답 선택 시간 확인",정답을 고를수 있는 시간은 5초이며 5초가 소진될 경우 오답으로 판정된다.
숫자 퀴즈,어려움 난이도_003,카운트 다운,,,"1. 스피드 퀴즈 진입
2. 하단 카운트다운 동작 확인","5,4,3,2,1 카운트 다운이 노출된다."
숫자 퀴즈,어려움 난이도_004,프로그레스바,,,"1. 스피드 퀴즈 진입
2. 하단 프로그레스바 동작 확인","5,4,3,2,1 카운트다운과 같이 동작되는 프로그레스바가 노출된다."
숫자 퀴즈,어려움 난이도_005,답안지 선택,,,"1. 스피드 퀴즈 진입
2. 리모콘 좌 버튼 선택",좌측 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
숫자 퀴즈,어려움 난이도_006,답안지 선택,,,"1. 스피드 퀴즈 진입
2. 리모콘 우 버튼 선택",우측 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
숫자 퀴즈,어려움 난이도_007,답안지 선택,,,"1. 스피드 퀴즈 진입
2. 리모콘 상 버튼 선택",상단 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
숫자 퀴즈,어려움 난이도_008,답안지 선택,,,"1. 스피드 퀴즈 진입
2. 리모콘 하 버튼 선택",하단 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
숫자 퀴즈,어려움 난이도_009,답안지 선택 BGM,,,"1. 스피드 퀴즈 진입
2. 리모콘 상/ 좌/우 버튼 선택",아바타가 답변영역에 위치 될 때 걸음소리 음원이 같이 재생된다.
숫자 퀴즈,어려움 난이도_010,답안지 선택 (카운트 활성화),5초 카운트 활성화 상태,,"1. 스피드 퀴즈 진입
2. 리모콘 상/ 좌/우 버튼 선택",5초 카운트가 활성화 되어 있는 경우 답안지 변경이 가능하다.
숫자 퀴즈,어려움 난이도_011,답안지 선택 (카운트 비활성화),5초 카운트 비활성화 상태,,"1. 스피드 퀴즈 진입
2. 리모콘 상/ 좌/우 버튼 선택",5초 카운트가 종료되어 비활성화 되어 있는 경우 답안지 변경이 불가능하다.
숫자 퀴즈,어려움 난이도_012,정답판정(아바타 동작),,,"1. 문제 정답을 맞춤
2. 아바타 동작 확인",아바타가 신나서 뛰는 액션을 취한다.
숫자 퀴즈,어려움 난이도_013,정답판정(정답 이펙트),,,"1. 문제 정답을 맞춤
2. 정답 이펙트 확인",아바타 위로 코인이 쌓이는 이펙트가 노출된다.
숫자 퀴즈,어려움 난이도_014,정답판정(BGM),,,"1. 문제 정답을 맞춤
2. BGM 확인",코인이 짤랑거리는 음원이 재생된다.
숫자 퀴즈,어려움 난이도_015,오답판정(아바타 동작),,,"1. 문제를 의도적으로 틀림
2. 아바타 동작 확인",아바타가 함정 구멍으로 떨어지는 애니메이션 동작
숫자 퀴즈,어려움 난이도_016,오답판정(오답 이펙트),,,"1. 문제를 의도적으로 틀림
2. 오답 이펙트 확인",위치한 답안지가 함정구멍처럼 열리는 이펙트가 노출된다.
숫자 퀴즈,어려움 난이도_017,오답판정(BGM),,,"1. 문제를 의도적으로 틀림
2. BGM 확인",추락하는 음원이 재생된다.
숫자 퀴즈,어려움 난이도_018,게임 종료,,,1. 총 5문제 풀이를 모두 진행,게임종료 페이지가 노출된다.
숫자 퀴즈,어려움 난이도_019,게임 종료(성공),,,1. 게임 종료 (성공) 페이지 확인,"- 안내문구 : 성공했습니다.
- 점수 노출 영역
- 보상 노출 영역
- 나갈래요 버튼
- 다시할래요 버튼
- 아바타 노출"
숫자 퀴즈,어려움 난이도_020,게임 종료(성공),,,1. 게임 종료 (성공) 아바타 액션 확인,성공 시 아바타가 신나하는 애니메이션이 노출된다.
숫자 퀴즈,어려움 난이도_021,게임 종료(성공),,,1. 점수 확인,"- 문제 1개당 10점 획득
- 총 문제의 정답 수의 비례하여 점수가 정확하게 합산되어 노출된다."
숫자 퀴즈,어려움 난이도_022,게임 종료(성공),,,1. 보상 확인,"- 문제 1개당 10코인 획득
- 총 문제의 정답 수의 비례하여 코인이 정확하게 합산되어 노출된다."
숫자 퀴즈,어려움 난이도_023,게임 종료(성공),,,1. 나갈래요 버튼 클릭,스피드 퀴즈 메인페이지로 이동된다.
숫자 퀴즈,어려움 난이도_024,게임 종료(성공),,,1. 다시할래요 버튼 클릭,동일 난이도로 게임 재시작이 이루어지며 하트 1개가 소진된다.
숫자 퀴즈,어려움 난이도_025,게임 종료(실패),,,1. 게임 종료 (실패) 페이지 확인,"- 안내문구 : 실패했습니다.
- 점수 노출 영역
- 보상 노출 영역
- 나갈래요 버튼
- 다시할래요 버튼
- 아바타 노출"
숫자 퀴즈,어려움 난이도_026,게임 종료(실패),,,1. 게임 종료 (실패) 아바타 액션 확인,실패 시 아바타가 슬퍼하는 액션이 노출된다.
숫자 퀴즈,어려움 난이도_027,게임 종료(실패),,,1. 점수 확인,"- 문제 1개당 10점 획득
- 총 문제의 정답 수의 비례하여 점수가 정확하게 합산되어 노출된다."
숫자 퀴즈,어려움 난이도_028,게임 종료(실패),,,1. 보상 확인,"- 문제 1개당 10코인 획득
- 총 문제의 정답 수의 비례하여 코인이 정확하게 합산되어 노출된다."
숫자 퀴즈,어려움 난이도_029,게임 종료(실패),,,1. 나갈래요 버튼 클릭,스피드 퀴즈 메인페이지로 이동된다.
숫자 퀴즈,어려움 난이도_030,게임 종료(실패),,,1. 다시할래요 버튼 클릭,동일 난이도로 게임 재시작이 이루어지며 하트 1개가 소진된다.
기억력 퀴즈,기억력 퀴즈 진입_001,기억력 퀴즈 진입 확인,,,1. 기억력 퀴즈 선택,기억력 퀴즈 난이도 단계 선택 페이지로 이동된다.
기억력 퀴즈,난이도 선택_001,난이도 선택 ui 확인,,,1. 난이도 단계 선택 페이지 ui 확인,"- 보유코인 노출 영역
- 보유하트 노출 영역
- 뒤로가기 버튼
- 쉬움 난이도 (코인 보상 함께 노출)
- 중간 난이도 (코인 보상 함께 노출)
- 어려움 난이도 (코인 보상 함께 노출)"
기억력 퀴즈,보유코인_001,코인 영역,,,1. 보유코인 확인,ox 퀴즈를 진행하면서 보상 받은 코인의 수량이 노출된다.
기억력 퀴즈,보유코인_002,코인 지급,"보유 코인 : 1,000",,"1. 게임 진행
2. 코인 영역 확인",보상만큼 코인이 지급되어 현재 수량에 합산이 되어 노출된다.
기억력 퀴즈,보유하트_001,-,,,1. 보유하트 확인,일 기준 10개까지 제공이 되며 24시 정각에 다시 10개 충전
기억력 퀴즈,보유하트_002,하트 차감,코인 상태 10 / 10,,"1. 게임 진행
2. 보윺 하트 확인",9/10 으로 하트가 차감 된다.
기억력 퀴즈,보유하트_003,하트 지급,코인 상태 0 / 10,,"1. 24시 이후 ox 퀴즈 접속 (상황 여의치 않을 경우 api or 서버팀에게 요청하여 시간 조작)
2. 보유 하트 확인",10 /10 으로 하트가 지급 된다.
기억력 퀴즈,기억력 퀴즈 진입_002,난이도 선택,하트가 없는 경우(남은 횟수가 1개 미만),,1. 쉬움/중간/어려움 난이도 선택,"아래의 화면이 노출된다.
- 안내 문구 : 남은 하트가 없습니다. 내일 다시 시도해 주세요.
- 확인 버튼
- 백그라운드 딤드"
기억력 퀴즈,기억력 퀴즈 진입_003,확인,하트 없는 경우 난이도 선택 시 화면 노출 상태,,1. 확인 버튼 선택,확인 버튼 선택 시 다시 백그라운드 딤드가 풀린다.
기억력 퀴즈,기억력 퀴즈 진입_004,난이도 선택,하트가 있는 경우(남은 횟수가 1개 이상),,1. 쉬움/중간/어려움 난이도 선택,리모콘 동작 튜토리얼 문구와 [플레이] 버튼  선택 가능한 페이지로 이동된다.
기억력 퀴즈,튜토리얼_001,튜토리얼 진입,,,1. 난이도 선택 완료,기억력 퀴즈 튜토리얼 페이지로 진입이 이루어진다.
기억력 퀴즈,튜토리얼_002,튜토리얼 시작,,,1. 기억력 퀴즈 튜토리얼 시작 페이지 ui 확인,"- 안내문구 : 오픈된 카드를 잘 기억해보세요!
- 플레이 버튼"
기억력 퀴즈,튜토리얼_003,플레이,,,1. 플레이 버튼 클릭,기억력 퀴즈 튜토리얼 준비 상태 진입
기억력 퀴즈,튜토리얼_004,준비 상태,,,1. 기억력 퀴즈 준비 화면 확인,"- 총 10장의 카드 노출
- 게임 시작 전 카운트다운 레디 -> 고 문구와 음성이 표출된다.
- 레디 ->  고 출력 후 게임 시작"
기억력 퀴즈,튜토리얼_005,카드오픈,,,"1. 게임시작
2. 카드오픈 동작 확인",카드 뒤집히는 이미지 모션과 음향효과가 노출되며 5초 동안 오픈 상태가 유지된다.
기억력 퀴즈,튜토리얼_006,카드닫힘,,,1. 카드닫힘 동작 확인,카드 오픈 5초 이후 카드닫힘 상태로 변경된다.
기억력 퀴즈,문제 제시_001,-,,,1. 카드닫힘 동작 이후 문제 노출 확인,"카드에 노출된 이미지에 맞는 문제가 노출된다.
ex : 사과는 3개"
기억력 퀴즈,쉬움 난이도_001,답 선택지,,,1. 쉬움 난이도 레벨의 답 선택지 갯수 확인,쉬움 난이도에서는 선택지 2개가 노출된다.
기억력 퀴즈,쉬움 난이도_002,정답 선택시간,,,"1. 기억력 퀴즈 진입
2. 게임 시작 이후 답 선택 시간 확인",정답을 고를수 있는 시간은 5초이며 5초가 소진될 경우 오답으로 판정된다.
기억력 퀴즈,쉬움 난이도_003,카운트 다운,,,"1. 기억력 퀴즈 진입
2. 하단 카운트다운 동작 확인","5,4,3,2,1 카운트 다운이 노출된다."
기억력 퀴즈,쉬움 난이도_004,프로그레스바,,,"1. 기억력 퀴즈 진입
2. 하단 프로그레스바 동작 확인","5,4,3,2,1 카운트다운과 같이 동작되는 프로그레스바가 노출된다."
기억력 퀴즈,쉬움 난이도_005,답안지 선택,,,"1. 기억력 퀴즈 진입
2. 리모콘 좌 버튼 선택",좌측 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
기억력 퀴즈,쉬움 난이도_006,답안지 선택,,,"1. 기억력 퀴즈 진입
2. 리모콘 우 버튼 선택",우측 답안지로 포커스가 맞춰지며 사용 유저의 아바타가 답변영역 안에 위치한다.
기억력 퀴즈,쉬움 난이도_007,답안지 선택 BGM,,,"1. 기억력 퀴즈 진입
2. 리모콘 좌/우 버튼 선택",아바타가 답변영역에 위치 될 때 걸음소리 음원이 같이 재생된다.
기억력 퀴즈,쉬움 난이도_008,답안지 선택 (카운트 활성화),5초 카운트 활성화 상태,,"1. 기억력 퀴즈 진입
2. 리모콘 좌/우 버튼 선택",5초 카운트가 활성화 되어 있는 경우 답안지 변경이 가능하다.
기억력 퀴즈,쉬움 난이도_009,답안지 선택 (카운트 비활성화),5초 카운트 비활성화 상태,,"1. 기억력 퀴즈 진입
2. 리모콘 좌/우 버튼 선택",5초 카운트가 종료되어 비활성화 되어 있는 경우 답안지 변경이 불가능하다.
기억력 퀴즈,쉬움 난이도_010,정답판정(아바타 동작),,,"1. 문제 정답을 맞춤
2. 아바타 동작 확인",아바타가 신나서 뛰는 액션을 취한다.
기억력 퀴즈,쉬움 난이도_011,정답판정(정답 이펙트),,,"1. 문제 정답을 맞춤
2. 정답 이펙트 확인",아바타 위로 코인이 쌓이는 이펙트가 노출된다.
